"country_iso3","period","ideal_point"
"COG","2005-2009",0.529389286369288
"COK","2005-2009",-0.463135975934234
"COL","2005-2009",-0.222058410222144
"COM","2005-2009",-0.340962977577729
"CPV","2005-2009",-0.193023264835198
"CRI","2005-2009",-1.10219371291996
"CUB","2005-2009",-0.48029123629448
"CUW","2005-2009",-0.626220604052476
"CYP","2005-2009",1.82644264612021
"CZE","2005-2009",1.33875928436546
"DEU","2005-2009",3.34559532433494
"DJI","2005-2009",-0.657660067051934
"DMA","2005-2009",-0.3498815811454
"DNK","2005-2009",2.37054789164651
"DOM","2005-2009",-0.147856509007916
"DZA","2005-2009",-0.161480685923762
"ECU","2005-2009",0.36639194472087
"EGY","2005-2009",0.137359671457185
"ERI","2005-2009",-0.9236970286897
"ESP","2005-2009",2.48988790375184
"EST","2005-2009",1.84319314699736
"ETH","2005-2009",-1.1189937017302
"FIN","2005-2009",2.40152531466897
"FJI","2005-2009",-1.18500272614367
"FRA","2005-2009",3.31167324571678
"GAB","2005-2009",0.225372000444508
"GBR","2005-2009",2.3147709184368
"GEO","2005-2009",-0.113061102197291
"GHA","2005-2009",-0.250928051100092
"GIN","2005-2009",0.0615719692919163
"GMB","2005-2009",0.402353572726624
"GNB","2005-2009",-0.936251441783703
"GNQ","2005-2009",-0.370612201510308
"GRC","2005-2009",1.49549673086098
"GRD","2005-2009",-1.10488068951407
"GTM","2005-2009",0.346077246259523
"GUF","2005-2009",-5.14181459783481
"GUY","2005-2009",-0.296786743086908
"HKG","2005-2009",-4.84683853443314
"HND","2005-2009",-0.488004938808257
"HRV","2005-2009",2.08842682395647
"HTI","2005-2009",-1.56314764948544
"HUN","2005-2009",1.41893275317467
"IDN","2005-2009",-0.528911453036514
"IND","2005-2009",0.409947547953695
"IRL","2005-2009",1.33423860577871
"IRN","2005-2009",0.0170406313760565
"IRQ","2005-2009",-1.46619699260082
"ISL","2005-2009",-0.267530482447846
"ISR","2005-2009",-0.311075186373261
"ITA","2005-2009",1.79554697886033
"JAM","2005-2009",0.275637138911582
"JOR","2005-2009",-0.1435678262301
"JPN","2005-2009",0.610334926079699
